no [2354]
musū [1]
muyo [1]
muyō [1]
muzanna [1]
muzukashī [1]
muzukashījaroute [1]
myōda [1]
mētoru-kyūda [1]
mētoruda [1]
mōdaijōbuda [1]
mōnidoto [1]
mōshin [1]
mōshita [1]
mōshiwakearimasen [1]
mōshiwakenai [1]
mōshiwakenaikedo [1]
mōsugu [1]
mōtō [1]
na-sa-sō [1]
naburigoroshi [1]
nadzuketa [1]
naga [1]
nagabiita [1]
nagamete [1]
nagaraeru [1]
nagasareru [1]
nagasu [1]
nagatono [1]
nageku [1]
nagurareta [1]
naguri [1]
naguru [1]
naibu [1]
naichi-ikidatta [1]
naichidatta [1]
naida [1]
naikō-tekina [1]
nairan [1]
nairashī [1]
nairuna [1]
naishona [1]
naite [1]
naito [1]
naizō [1]
najimi [1]
nakada [1]
nakade [1]
nakami-goto [1]
nakami-san [1]
nakanaka [1]
nakarouga [1]
nakattaga [1]
nakattatte [1]
nakucha [1]
nakunareba [1]
nakunattara [1]
nakunattetashi [1]
nakushi [1]
nakute [1]
namaeda [1]
namaedatta [1]
namakubi [1]
namakura [1]
nametara [1]
nan-bai [1]
nan-nichi [1]
nan-ri [1]
nan-tai [1]
nanbitotaritomo [1]
nandaka [1]
nandearou [1]
nandeda [1]
nandemonai [1]
nani-jin [1]
naniare [1]
nanidaare [1]
nanikore [1]
nanimonona [1]
naninara [1]
nanishite [1]
nanisore [1]
naniwoshita [1]
naniyara [1]
nankaina [1]
nanmannin [1]
nannichida [1]
nannooto [1]
nannē [1]
nanoha [1]
nanoni [1]
nanoru [1]
nanpō [1]
nantena [1]
nantsu [1]
nantō [1]
nanzo [1]
naose [1]
naoshita [1]
naottara [1]
narabe [1]
narabete [1]
narabini [1]
narae [1]
naranakatta [1]
naranakereba [1]
naranakute [1]
naranakya [1]
naranu [1]
naratte [1]
narazu [1]
narazumono [1]
naremasen [1]
narenaito [1]
narenakatta [1]
narenakute [1]
narimasen [1]
naritatsunara [1]
naritatte [1]
narukara [1]
narukedo [1]
narunara [1]
narya [1]
nasakenē [1]
nashide [1]
nasu [1]
natcha [1]
natchimau [1]
natsukashī [1]
nattanoni [1]
nattatte [1]
nattekara [1]
nattemasu [1]
natten [1]
natteta [1]
nayama [1]
nazedaka [1]
ndaroukedo [1]
ndatta [1]
nebokeru [1]
nebokete [1]
nebumi [1]
nedayashi [1]
negao [1]
negatta [1]
nemui [1]
nemutte [1]
nennotame [1]
nenryōkireda [1]
neratta [1]
nerawareru [1]
nerinaosou [1]
nerubekideshou [1]
nesu-san [1]
nesuda [1]
netto [1]
neyo [1]
ni-ri [1]
niataisuru [1]
nibui [1]
nibuku [1]
nida [1]
nidai [1]
nigaki [1]
nigasan [1]
nigashita [1]
nigatena [1]
nigedashita [1]
nigekireta [1]
nigekonde [1]
nigenai [1]
nigenobita [1]
nigetai [1]
nigeya [1]
nigeyou [1]
nigiritsubushi [1]
nijihigai [1]
nijisaigai [1]
nijunzuru [1]
nikawatte [1]
nikayotta [1]
nikkunara [1]
nikkōna [1]
niku-goto [1]
nikuidesushi [1]
nikukute [1]
nikunde [1]
nimokakawarazu [1]
ninara [1]
ningen-sama [1]
ningendattatte [1]
ningenna [1]
ningenrashī [1]
ninmujarou [1]
ninzū-bun [1]
ninē [1]
niou [1]
nisemono [1]
nite [1]
nitemasu [1]
niwa [1]
nja [1]
njaga [1]
njakara [1]
nna [1]
nnanida [1]
nobashita [1]
noboranaito [1]
nobore [1]
noborenē [1]
noboreru [1]
noboreta [1]
nobori [1]
noborou [1]
nobotta [1]
nodeatte [1]
nodo [1]
nogareru [1]
nogasu [1]
nokonoko [1]
nokoranai [1]
nokorimasen [1]
nokorisukunai [1]
nokoshita [1]
nokosu [1]
nokottenai [1]
nokotteru [1]
nomanaito [1]
nomesa [1]
nomikoma [1]
nomikome [1]
nomimono [1]
nonbiri [1]
nondakure [1]
nonki [1]
nonkina [1]
noraneko [1]
nori [1]
norikoeru [1]
norikoete [1]
noroi [1]
noroma [1]
noroma-domo [1]
nosero [1]
notta [1]
nottotta [1]
nozokeba [1]
nozomi [1]
nu [1]
nugutta [1]
nui [1]
nuita [1]
nuite [1]
nukashitadarou [1]
nukedasu [1]
nukereba [1]
nukeru [1]
nuki [1]
nukida [1]
nusunda [1]
nyōbō [1]
nyūdan-shiki [1]
nyūrō [1]
nēdarouga [1]
nōkō [1]
nōmiso [1]
nōnai [1]
nōryoku-teki [1]
o-jō [1]
obasan [1]
obienagara [1]
obiete [1]
obikidasu [1]
obikiyoseta [1]
obikiyosete [1]
oboero [1]
oboeteinai [1]
oboetenai [1]
ochireba [1]
ochita [1]
ochitarashī [1]
ochite [1]
ochitsukeyo [1]
odayaka [1]
odayakana [1]
odorokubeki [1]
odoshi [1]
oe [1]
ogami [1]
ogamitai [1]
ohayōgozaimasu [1]
ohiru [1]
oi-dōshita [1]
oidasa [1]
oikake [1]
oikoma [1]
oikonda [1]
oitsukenai [1]
oitsukenakereba [1]
oitsumemashou [1]
oitsumeru [1]
oiyatta [1]
ojichan [1]
ojisan-tachi [1]
oka [1]
okaerinasai [1]
okage-sa [1]
okagede [1]
okagena [1]
okasazu [1]
okashi [1]
okashikunainoni [1]
okashina [1]
okashīdaro [1]
okazari [1]
okeba [1]
okiru [1]
okkakete [1]
okkane [1]
okonae [1]
okora [1]
okoru [1]
okosa [1]
okose [1]
okosenakatta [1]
okotaru [1]
okottakao [1]
okotten [1]
okotteru [1]
okou [1]
okuba [1]
okubekida [1]
okubyō [1]
okubyō-sha [1]
okureru [1]
okusoku [1]
okuttara [1]
omachi [1]
omae-za-gaku [1]
omaeda [1]
omaedaro [1]
omaega-kan [1]
omaeha-ba [1]
omaemo [1]
omaenanka [1]
omaeni-ryoku [1]
omaera-teido [1]
omaesan [1]
omamori [1]
omodatta [1]
omoeba [1]
omoen [1]
omoenaikedo [1]
omoenēga [1]
omoeruga [1]
omoiataru [1]
omoidasenē [1]
omoidedakara [1]
omoikon [1]
omoimasunode [1]
omoimasushi [1]
omoinohoka [1]
omoishirasete [1]
omoishire [1]
omoitakute [1]
omoitsukinanoni [1]
omomuki [1]
omoshire [1]
omottaga [1]
omottakarada [1]
omottayori [1]
omottenakattanoni [1]
omottenē [1]
omoukara [1]
omoukoto [1]
omowaku-dōrida [1]
omowazu [1]
onaidoshi [1]
onajide [1]
onajiyōni [1]
onegai [1]
onegaida [1]
onegaishimasu [1]
ongaeshi [1]
oniai [1]
onkyō-dan [1]
onnadesho [1]
onnanokoda [1]
onnikiseru [1]
ono [1]
onzon [1]
onē-chan [1]
orazu [1]
oredatte [1]
oreru [1]
orita [1]
oritatsu [1]
orā [1]
osae [1]
osaero [1]
osaeyoutomo [1]
osamaru [1]
osameru [1]
osanai [1]
osananajimina [1]
oshaberi [1]
oshie [1]
oshieta [1]
oshieteageru [1]
oshikome [1]
oshikonde [1]
oshitsuke [1]
oshitsukete [1]
oso [1]
osoikakatta [1]
osokatta [1]
osoku [1]
osorakuha [1]
osoreru [1]
osotteru [1]
osowatta [1]
osowatteru [1]
ossharu [1]
ota [1]
otagai [1]
otokoda [1]
otorumonono [1]
otoshimae [1]
otoshita [1]
otta [1]
otto [1]
owa [1]
owarasenai [1]
owareba [1]
owari [1]
owarimashita [1]
owarou [1]
owattara [1]
owatte [1]
oyaji-san [1]
oyajida [1]
oyasuminasai [1]
oyayubi [1]
oyobanai [1]
oyobanu [1]
oyogi [1]
oyonda [1]
papā [1]
pe [1]
pechanko [1]
peida [1]
pekopeko [1]
pikunikku [1]
pikuri [1]
pikushisu-ji [1]
pikushisuna [1]
pikushīsu [1]
puretsu~ensuka [1]
pīpī [1]
ragako-mura [1]
rai [1]
raimei [1]
rainen [1]
rakkan-shi [1]
raku [1]
ranshinda [1]
rare-sōna [1]
raremasen [1]
raremasendeshita [1]
raremashita [1]
raren [1]
rarenaiga [1]
rarenaikedo [1]
rarenaku [1]
rarenga [1]
rareshi [1]
raretakedo [1]
raretanoni [1]
raretatte [1]
raru [1]
rashī [1]
razu [1]
re-sō [1]
re-sōda [1]
reba [1]
reberuda [1]
recha [1]
reki [1]
rekidai [1]
rekishi [1]
remasuga [1]
renaidarou [1]
renakattakara [1]
renakattakedo [1]
rendo [1]
renrakuda [1]
rentai-sei [1]
renzoku [1]
renzu [1]
rerubekida [1]
rerudarou [1]
rerushi [1]
retakunai [1]
retakunakattara [1]
retanoni [1]
retarashī [1]
rettō-sei [1]
retē [1]
rigai [1]
rikimi-goe [1]
rikimu [1]
rikiryōde [1]
rikō [1]
rippa [1]
risuru [1]
ritsuan [1]
rivu~ai-hei [1]
rokuna [1]
rui [1]
rusu [1]
ryō [1]
ryōchi [1]
ryōhō [1]
ryōiki-nai [1]
ryōkaida [1]
ryōri [1]
ryōshin [1]
rōjō [1]
rōryoku [1]
rōshi [1]
rōze-nai [1]
rōzu [1]
rūdovu~ihi [1]
rūruda [1]
rūrudakara [1]
rūtoda [1]
sabaki [1]
sabaku [1]
sabotteru [1]
sadakade [1]
sadame [1]
sadzuke [1]
sadzukeyou [1]
sagare [1]
sagashi [1]
sagashina [1]
sagashite [1]
sagasubeki [1]
sagete [1]
sagyōdatta [1]
saiakuda [1]
saiakuna [1]
saidai [1]
saigodakara [1]
saigodatta [1]
saijūyō-ku [1]
saikaku [1]
saikin [1]
saikōna [1]
sainōnonai [1]
saishin [1]
saishū [1]
saishūtekini [1]
saitekina [1]
saiten [1]
saizen-sakuda [1]
saizen-sakuna [1]
saizensendeari [1]
saizu [1]
sakaratte [1]
sakebanaide [1]
sakebazu [1]
sakebi [1]
sakebu [1]
sakenagara [1]
saketa [1]
sakeyou [1]
saku [1]
sakusen-chū [1]
sakusen-dōri [1]
sakusendato [1]
sakusendatta [1]
sakusende [1]
sakusenna [1]
sama [1]
samatage [1]
samazamana [1]
sameta [1]
samete [1]
sanbō [1]
sandan [1]
sandō [1]
sangeki [1]
sanjō [1]
sanpo [1]
sanpurudashi [1]
saranaru [1]
sarashite [1]
saratta [1]
sareba [1]
sasaeru [1]
sasai [1]
sasaina [1]
sasatteru [1]
sasayakana [1]
sasete [1]
sashichigaete [1]
sashikaete [1]
sashita [1]
sashizu [1]
sasoikonda [1]
sassoku [1]
sassuru [1]
sasu [1]
sasugada [1]
satadenai [1]
satchi [1]
sate [1]
sateto [1]
satsugai [1]
satsuriku [1]
satsuriku-sha [1]
sawagashikute [1]
sawagi [1]
sawagi-goe [1]
sawaide [1]
sawatte [1]
sawayakada [1]
sayoku [1]
sazukarishi [1]
sa~tsuikuzo [1]
segare [1]
seichōshita [1]
seiei-chū [1]
seiei-tachi [1]
seieida [1]
seieidearu [1]
seijō [1]
seikaidatta [1]
seikaina [1]
seikon [1]
seikōda [1]
seirai [1]
seiryoku [1]
seisan-sha [1]
seishi [1]
seishikina [1]
seishintekikutsū [1]
seishitsu [1]
seishokki [1]
seisō [1]
seitōna [1]
seizon-sha [1]
sekaida [1]
sekaide [1]
seken [1]
seken-tekina [1]
sekiba [1]
sekikomi [1]
sekininda [1]
sekininshadatta [1]
sekininshadeari [1]
sekininshadearou [1]
sekitsui [1]
sekkyoku-sei [1]
sekkyōda [1]
semareru [1]
seme [1]
semekonde [1]
sen-ri [1]
senaide [1]
senakereba [1]
senbō [1]
seneba [1]
senhiki [1]
seni [1]
senjin [1]
senkōda [1]
sennen [1]
senryō [1]
sensaina [1]
sentaku-ken [1]
sentakudaga [1]
sentakushi [1]
sentō-fuku [1]
senu [1]
senzai [1]
senēto [1]
seou [1]
seri [1]
serunoni [1]
setai [1]
setaku [1]
setakunai [1]
setakunakattakaradaro [1]
setakunē [1]
setchi [1]
setogiwa [1]
seya [1]
seyou [1]
shaberenē [1]
shabereru [1]
shabereyo [1]
shaberi-kata [1]
shaberimasu [1]
shaberinagara [1]
shabette [1]
shabettereba [1]
shadan [1]
shadan-go [1]
shafuto [1]
shagan [1]
shibaraku [1]
shibaraku-buri [1]
shibatte [1]
shiboroutomo [1]
shiboru [1]
shibu [1]
shibōda [1]
shibōdakara [1]
shichi [1]
shichū [1]
shidaidakedo [1]
shidaini [1]
shiganshina-kuda [1]
shigotodakara [1]
shigotodarouga [1]
shijida [1]
shijō [1]
shikake [1]
shikakeru [1]
shikanakarou [1]
shikarubeki [1]
shikashida [1]
shikatanaiga [1]
shikatanēdaro [1]
shikeinisurunara [1]
shiketa [1]
shiki-kan [1]
shiki-ken [1]
shikin [1]
shikka [1]
shikumi [1]
shikumida [1]
shimaeba [1]
shimaida [1]
shimaimashita [1]
shimasuga [1]
shimattakarada [1]
shimauga [1]
shime [1]
shimero [1]
shimesa [1]
shimesanakatta [1]
shimeshi [1]
shimeshite [1]
shimetsu [1]
shimin [1]
shinada [1]
shinaito [1]
shinakattara [1]
shinaku [1]
shinanaide [1]
shinase [1]
shinazu [1]
shinbō [1]
shindadarou [1]
shindoi [1]
shineba [1]
shingaida [1]
shingi-shodeare [1]
shingikai [1]
shingō-dan [1]
shini-sōdakedo [1]
shinikaketa [1]
shinimonogurui [1]
shinitaku [1]
shinitakunai [1]
shinitakunakya [1]
shinjinai [1]
shinjirarenai [1]
shinjiro [1]
shinjita [1]
shinjitai [1]
shinjitemasu [1]
shinjiyou [1]
shinjū [1]
shinkeishitsude [1]
shinkokuna [1]
shinnen [1]
shinou [1]
shinpaida [1]
shinpei-domo [1]
shinpeidakara [1]
shinpeinara [1]
shinraida [1]
shinryō [1]
shinryōda [1]
shinseinaru [1]
shinsetsuna [1]
shinshutsu [1]
shinsō [1]
shintaina [1]
shinudarou [1]
shinuki [1]
shinyū [1]
shinēto [1]
shippaida [1]
shippo [1]
shirabede [1]
shiraberu [1]
shirabetai [1]
shiraha [1]
shiran [1]
shiranakattashi [1]
shiranakattayo [1]
shiranga [1]
shiranēde [1]
shiranēkedo [1]
shirase [1]
shiraseru [1]
shirazuni [1]
shireba [1]
shirei-ba [1]
shirei-kan [1]
shiremasenga [1]
shiren-sha-tachi [1]
shirenēkedo [1]
shirewatarudarou [1]
shiriai [1]
shirimashita [1]
shiritai [1]
shirodato [1]
shiroi [1]
shiromono [1]
shiromonoda [1]
shirushi [1]
shiryoku [1]
shisai [1]
shisai-sama [1]
shisatsu [1]
shisen [1]
shishō-sha [1]
shisuna [1]
shitagai [1]
shitagaou [1]
shitagatta [1]
shitagattara [1]
shitaida [1]
shitakara [1]
shitakarada [1]
shitaku [1]
shitana [1]
shitanara [1]
shitatameru [1]
shitau [1]
shitemashita [1]
shitemasu [1]
shiten [1]
shiteyarou [1]
shiteyaru [1]
shitome [1]
shitomero [1]
shitometa [1]
shitsugyō-sha [1]
shitsuke [1]
shitsureida [1]
shitsureina [1]
shitsureishimashita [1]
shitsuryō [1]
shittara [1]
shitteita [1]
shitteita-ra [1]
shittemashita [1]
shitterudaro [1]
shitterya [1]
shitteta [1]
shittetara [1]
shittoru [1]
shittsui [1]
shiuchi [1]
shiuntendakarada [1]
shizai [1]
shizaida [1]
shizen [1]
shi~tsu [1]
shoho [1]
shohodaga [1]
shoi [1]
shokuji [1]
shokumudearou [1]
shokuryō-ko [1]
shokuryō-kodattatte [1]
shokuryōnan [1]
shonben [1]
shonichinanoni [1]
shoppana [1]
shoshinsha [1]
shotaimen [1]
showa [1]
shugi [1]
shunkan-tai [1]
shunkandearou [1]
shuppatsuda [1]
shurui [1]
shurutsu [1]
shuryō-min [1]
shusekidaro [1]
shushū [1]
shusshinda [1]
shutsugen-ji [1]
shuttei [1]
shuyō [1]
shuzoku [1]
shādisuda [1]
shīna-nai [1]
shīnada [1]
shōbenkusai [1]
shōbu [1]
shōbuda [1]
shōchi [1]
shōdō-teki [1]
shōgai [1]
shōgai-mono [1]
shōganakatta [1]
shōganē [1]
shōgeki [1]
shōgen [1]
shōhi [1]
shōjiki-shanande [1]
shōjikina [1]
shōkaki-kan [1]
shōkaku [1]
shōmō-sen [1]
shōninzū [1]
shōrai [1]
shōrida [1]
shōrina [1]
shōryaku [1]
shōsan [1]
shōsha [1]
shōsū [1]
shōsū-ha [1]
shōsūdeattaga [1]
shū [1]
shūdanda [1]
shūen [1]
shūfuku [1]
shūgō [1]
shūhen [1]
shūi [1]
shūren [1]
shūsei [1]
shūshi [1]
shūyō [1]
so-geba [1]
so-genēdarouga [1]
sobo [1]
sobōde [1]
sochira [1]
sodachina [1]
sodateru [1]
sogeba [1]
sogi [1]
soide [1]
sokka [1]
sokkin [1]
sokkin-hei [1]
sokoda [1]
sokonatta [1]
sokoneta [1]
sokubaku [1]
sokushi [1]
somukero [1]
sonaeru [1]
sonaeta [1]
sonchō [1]
songaidaga [1]
songen [1]
sonna-te [1]
sonnande [1]
sono-bun [1]
sono-me [1]
sonokawarini [1]
sonoke [1]
sonoko [1]
sonomama [1]
sonotameda [1]
sonotoki [1]
sonotokidoki [1]
sonshō [1]
sonzaidato [1]
sonzaina [1]
sonzaishinai [1]
sonōchi [1]
sora [1]
sorada [1]
soredakeni [1]
soredatta [1]
soredokoro [1]
soredokorode [1]
soregananika [1]
soreha-goda [1]
soreigai [1]
sorenanoni [1]
sorenikuwaete [1]
sorenishitemo [1]
soreyueni [1]
soro [1]
soroeru [1]
soroi [1]
sorotta [1]
sorotten [1]
sorō [1]
sosei-jutsu [1]
soshitara [1]
sossonna [1]
sotchida [1]
sotogawa [1]
sotsū [1]
so~tsu-sōda [1]
subarashī [1]
sube [1]
subekidenaito [1]
subekina [1]
sude [1]
sue [1]
sugatte [1]
suggoku [1]
sugi [1]
sugide [1]
sugimashita [1]
suginē [1]
sugite [1]
sugiyashinē [1]
sugoshi [1]
sugoshimasu [1]
sugosu [1]
suikyōna [1]
suimon [1]
suita [1]
suite [1]
sujigaki-dōri [1]
suka [1]
sukasuka [1]
sukidakara [1]
sukina [1]
sukini [1]
sukkiri [1]
sukuitainara [1]
sukunai [1]
sukutta [1]
sukutte [1]
sukuu [1]
sumanē [1]
sumanēga [1]
sumigokochi [1]
sumimasendeshita [1]
sumiyakani [1]
sumizumi [1]
sundanoni [1]
supīdo [1]
supūn [1]
sura [1]
suraisu [1]
surubeki [1]
surubekida [1]
surubekidattatte [1]
surubekide [1]
surunara [1]
surutameni [1]
suruto [1]
susamajī [1]
susume-sōda [1]
susumeba [1]
susumete [1]
susumeyou [1]
susunda [1]
susunda-bun [1]
susunde [1]
sute [1]
sutekiyo [1]
suto-kudatta [1]
suto-kude [1]
sutohesu-kuda [1]
sutēki [1]
suwatteru [1]
sōdaga [1]
sōdaro [1]
sōdatta [1]
sōdenakya [1]
sōdesho [1]
sōi [1]
sōjida [1]
sōki [1]
sōkutsu [1]
sōkuzure [1]
sōnara [1]
sōryoku-sen [1]
sōsa [1]
sōsaku [1]
sōshite [1]
sōsēji [1]
sōtei-gai [1]
sōtō-sen [1]
sōtōna [1]
sōzetsuna [1]
sū-nichi [1]
sū-tai [1]
sūjida [1]
sūjikango [1]
sūjitsugo [1]
ta [1]
tabe [1]
tabekata [1]
tabemono [1]
taberubekida [1]
tabeta [1]
tabi [1]
tabibito [1]
tabū [1]
tachidomaru [1]
tachihadakari [1]
tachimukae [1]
tachimukawanakatta [1]
tadade [1]
tadainaru [1]
tadashikatta [1]
tadasu [1]
tae [1]
tagiru [1]
taichōda [1]
taido [1]
taidoda [1]
taigen [1]
taigun [1]
taihi [1]
taiho [1]
taijin [1]
taijū [1]
taikaku [1]
taikyaku [1]
taikyakuda [1]
tairetsu [1]
tairo [1]
tairyoku-men [1]
taishi [1]
taishita [1]
taishitakotonai [1]
taisho [1]
taisho-hō [1]
taishō [1]
taitōna [1]
taka [1]
taka-sō [1]
takaiga [1]
takakatta [1]
takaku [1]
takameta [1]
takamete [1]
takara [1]
taku [1]
takuramu [1]
takushi [1]
takushite [1]
takusu [1]
takusubekina [1]
tamae [1]
tamashī [1]
tamashīnariki [1]
tamedakara [1]
tamedato [1]
tamesa [1]
tameshi [1]
tamesu [1]
tametau [1]
tamotta [1]
tamotte [1]
tamotteru [1]
tandoku [1]
tani [1]
tanjun [1]
tanjunna [1]
tanka [1]
tankyorina [1]
tankyū [1]
tannaru [1]
tanomidaga [1]
tanonda [1]
tanoshikattari [1]
tanoshima [1]
tanoshimida [1]
tanoshitai [1]
tanoshite [1]
tanoshī [1]
tantōchokunyū [1]
tantōda [1]
taosa [1]
taoseba [1]
taosemasu [1]
taoseru [1]
taoshi [1]
taosou [1]
tappuri [1]
tarinakatta [1]
tariru [1]
tarizu [1]
tasukaritakattara [1]
tasukeau [1]
tasukedasanaito [1]
tasukenaito [1]
tasuketa [1]
tata [1]
tatakaeba [1]
tatakaen [1]
tatakaenaku [1]
tatakaida [1]
tatakaimasu [1]
tatakainagara [1]
tatakatta [1]
tatakattemasu [1]
tatakatteta [1]
tatakauga [1]
tatakawanai [1]
tatakawanakucha [1]
tatakawanakute [1]
tatakawanakya [1]
tatakikomu [1]
tatakikonde [1]
tatakitsuketa [1]
tatakkiru [1]
tatakou [1]
tatan [1]
tatanai [1]
tatemae [1]
tatenēshi [1]
tatetadeshou [1]
tateyou [1]
tatezu [1]
tato [1]
tatsujin [1]
tatsuto [1]
tattaima [1]
tattara [1]
tattenoni [1]
tattsu [1]
tayoreru [1]
tayori [1]
tayorininaru [1]
tayoritai [1]
tayorushi [1]
tcho [1]
teawase [1]
tegakari [1]
tegami [1]
tegokorowokuwaeru [1]
tegowai [1]
teihaku [1]
teiji [1]
teisai [1]
tejun [1]
tejō [1]
tekida [1]
tekidenai [1]
tekisetsuna [1]
tekishita [1]
tekitō [1]
tekiyō [1]
tekizen [1]
tekubi [1]
temadotchatte [1]
tenaikarana [1]
teniireta-shada [1]
tenkida [1]
tensaidakara [1]
tensū [1]
tenēkara [1]
tenēkarana [1]
teoi [1]
teokureda [1]
tereba [1]
tereru [1]
terudaro [1]
terukedo [1]
terunoni [1]
terya [1]
teshita-tachi [1]
tesshū [1]
tetakara [1]
tetsudae [1]
tetsudaeyo [1]
tetsudatte [1]
tetsudau [1]
tetsudawa [1]
tetta [1]
tetteiteki [1]
teuchi [1]
tewo [1]
tiasu [1]
tobetashi [1]
tobimawaru [1]
toboshī [1]
todoi [1]
todoita [1]
todomaru [1]
todomatte [1]
todome [1]
togamete [1]
togemashita [1]
togi [1]
tohaittemo [1]
toita [1]
toite [1]
tojikometa [1]
tojikomeyoutomo [1]
tokage [1]
tokeba [1]
tokidatta [1]
tokihanata [1]
tokimasunde [1]
tokini [1]
tokiniha [1]
tokino [1]
tokodakedo [1]
tokorodaga [1]
tokui [1]
tokuni [1]
tomarimasen [1]
tomaru [1]
tome-gu [1]
tomenakatta [1]
tomete [1]
tomogui [1]
tomokaku [1]
tomonatte [1]
tomonau [1]
tomuratte [1]
tonbogaeri [1]
tonda [1]
tondemonai [1]
tonto [1]
toppu [1]
toppukurasu [1]
toppuna [1]
tora-san [1]
toraereba [1]
toraeru [1]
toranai [1]
tore-shidai [1]
torenai [1]
toreta [1]
toriageru [1]
torikaesemasendeshita [1]
torikakaru [1]
torikime [1]
torikoboshita [1]
torimodoshitsutsu [1]
torinokosa [1]
toriosaero [1]
tosshutsu [1]
totan [1]
totta [1]
tottakedo [1]
tottoke [1]
towa [1]
tsu104 [1]
tsu208 [1]
tsu224 [1]
tsu229 [1]
tsu23 [1]
tsu232 [1]
tsu236 [1]
tsu237 [1]
tsu53 [1]
tsu85 [1]
tsu87 [1]
tsubure-sōda [1]
tsubuseba [1]
tsubusu [1]
tsudzuita [1]
tsudzuite [1]
tsudzukereba [1]
tsudzukeyou [1]
tsudzuku [1]
tsudzukudarouga [1]
tsue [1]
tsugunde [1]
tsugōnoī-banashida [1]
tsuide [1]
tsuideni [1]
tsuitachi [1]
tsuitara [1]
tsuiteikeru [1]
tsuitenja [1]
tsuiyasa [1]
tsukae [1]
tsukaen [1]
tsukaenaku [1]
tsukaenē [1]
tsukaeru [1]
tsukaihatasu [1]
tsukaikata [1]
tsukaikonaseru [1]
tsukaikonashite [1]
tsukainareta [1]
tsukaisute [1]
tsukama [1]
tsukamaeta [1]
tsukamatchimau [1]
tsukamatta [1]
tsukamerudarou [1]
tsukanakereba [1]
tsukanda [1]
tsukande [1]
tsukaneba [1]
tsukanē [1]
tsukare [1]
tsukareta [1]
tsukawa [1]
tsukenai [1]
tsukenakyadakedo [1]
tsukero [1]
tsukeru [1]
tsuketa [1]
tsukeyou [1]
tsukezu [1]
tsukiaida [1]
tsukiaukara [1]
tsukikkiri [1]
tsukimashita [1]
tsukiniichido [1]
tsukisoi [1]
tsukitomeru [1]
tsukkonde [1]
tsukukara [1]
tsukura [1]
tsukure [1]
tsukuru [1]
tsukusenai [1]
tsukushi [1]
tsukushite [1]
tsukutteta [1]
tsukuttoku-bun [1]
tsumande [1]
tsumandeta [1]
tsumanna-sō [1]
tsumarida [1]
tsumini [1]
tsumoride [1]
tsumorinara [1]
tsunagaru [1]
tsunagatta [1]
tsunagime [1]
tsunaidara [1]
tsuno [1]
tsurada [1]
tsuragamae [1]
tsuraku [1]
tsurekomeba [1]
tsuresaru [1]
tsuresatte [1]
tsurunde [1]
tsutaero [1]
tsutawaranakatta [1]
tsutawarutomo [1]
tsutawatte [1]
tsuto [1]
tsutomaru [1]
tsutomedarouga [1]
tsutomerubeki [1]
tsutometa [1]
tsutsushimi [1]
tsutsushinde [1]
tsuyo [1]
tsuyogatteru [1]
tsuyokute [1]
tsūjiru [1]
tsūjō-shu [1]
tsūkaku [1]
tsūro [1]
tsūsetsudaga [1]
tsūshō [1]
tsūtatsu [1]
ttenani [1]
ttenanida [1]
ttenoni [1]
tte~e [1]
tīsupūn [1]
tōbu [1]
tōbō [1]
tōji [1]
tōkankaku [1]
tōkatsu [1]
tōketsu [1]
tōku [1]
tōkuda [1]
tōmawari [1]
tōni [1]
tōnyū [1]
tōranai [1]
tōranē [1]
tōrenē [1]
tōridaga [1]
tōsei [1]
tōseru [1]
tōshite [1]
tōsō [1]
tōtoi [1]
tōtō [1]
tōzakaru [1]
tōzakeru [1]
tōzaketa [1]
uaaaa [1]
uaaaaā~tsu [1]
uaā~tsu [1]
ubai [1]
ubatta [1]
ubawareru [1]
udauda [1]
udede [1]
ueda [1]
ugoicha [1]
ugoite [1]
ugokanai [1]
ugokanaito [1]
ugokashi [1]
ugokashite [1]
ugoke [1]
ugokenai [1]
ugokenakatta [1]
ugokenaku [1]
ugokimasen [1]
ukagaeru [1]
ukagaou [1]
ukagatten [1]
ukemotsu [1]
ukemotte [1]
uketore [1]
ukeurida [1]
ukeyou [1]
umakude [1]
umaninoru [1]
umareshi [1]
umareta [1]
umarete [1]
ume [1]
unajida [1]
unasare [1]
unwaruku [1]
uoooō~tsu [1]
ura [1]
uradzukeru [1]
urama [1]
urami [1]
urayamashī [1]
ureru [1]
urotsuku [1]
urōro [1]
ushi [1]
ushinaimashita [1]
ushinaitakunai [1]
ushinatte [1]
ushinau [1]
ushinawareta [1]
ushiroda [1]
ushirokarada [1]
ushirona [1]
usu-ra [1]
uta [1]
utagai [1]
utagatte [1]
utagatten [1]
utagau [1]
utagawashī [1]
utawa [1]
utemasu [1]
utsukushī [1]
utsutte [1]
uttaete [1]
utte [1]
utteru [1]
uuū~tsu [1]
uwaaa [1]
uwakkuru [1]
uwamawaru [1]
uwasa [1]
uwasa-dōri [1]
uwa~tsuu [1]
uwa~tsuū [1]
u~o [1]
u~tsua [1]
u~tsua~ [1]
uā~tsu [1]
uū~tsu [1]
vu~arutsu [1]
waaruga [1]
waatte [1]
wagamama [1]
wahahahaha [1]
waita [1]
waka [1]
wakaki [1]
wakandaro [1]
wakannakattaga [1]
wakaranaikara [1]
wakaranaina [1]
wakaranaku [1]
wakaranto [1]
wakaranērashī [1]
wakarazu [1]
wakare [1]
wakarero [1]
wakarete [1]
wakarukedo [1]
wakarya [1]
wakattakara [1]
